model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,1.0,0.8,1.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.01,0.06,10.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.03,0.22,10.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.05,0.52,6.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.07,0.72,4.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.09,0.56,4.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.1,0.48,4.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.5,0.68,2.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,1.0,0.62,1.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.01,0.0,1.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.03,0.0,1.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.05,0.08,10.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.07,0.3,10.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.09,0.3,10.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.1,0.32,8.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.5,0.52,2.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,1.0,0.62,1.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.02,4.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.08,8.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.52,4.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.56,5.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.54,4.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.46,2.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.54,2.0
gemma-3-12b-it,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.62,1.0
