model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.5,0.36,2.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,1.0,0.48,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.01,0.24,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.03,0.28,4.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.05,0.34,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.07,0.32,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.09,0.38,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.1,0.44,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.5,0.34,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,1.0,0.28,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.01,0.3,6.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.03,0.26,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.05,0.28,5.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.07,0.32,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.09,0.32,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.1,0.28,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.5,0.54,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,1.0,0.3,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.28,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.28,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.38,2.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.3,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.38,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.52,1.0
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,,
OLMo-2-1124-13B-DPO,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.3,1.0
